"","Aph_spi","Cam_mag","Dro_gli","Ela_alb","Tur_fal"
"0r_culo_neg",1,1,0,1,0
"Bom_dah",0,0,0,1,0
"Bom_ter",0,0,0,1,0
"Col_sem",1,1,0,1,0
"mosc_culro",0,0,0,0,0
"Sep_sep",0,0,0,1,0
"sp1",0,0,0,0,0
"sp10",0,0,0,1,0
"sp100",0,0,0,0,0
"sp101",1,1,0,1,0
"sp102",0,0,0,0,0
"sp11",0,0,0,0,0
"sp14",1,1,0,1,0
"sp15",0,0,0,1,0
"sp16",1,1,0,1,0
"sp17",0,0,0,0,0
"sp18",0,0,0,1,0
"sp19",0,0,0,1,0
"sp2",0,0,0,0,0
"sp20",0,0,0,1,0
"sp21",0,0,0,0,0
"sp22",0,0,0,1,0
"sp26",0,0,0,1,0
"sp27",1,1,0,1,0
"sp28",1,1,0,1,0
"sp29",0,0,0,1,0
"sp3",0,0,0,1,0
"sp30",1,1,0,1,0
"sp31",0,0,0,1,0
"sp37",1,1,0,1,0
"sp38",1,1,0,1,0
"sp4",0,0,0,1,0
"sp41",0,0,0,0,0
"sp42",0,0,0,0,0
"sp43",1,1,0,1,0
"sp45",0,0,0,0,0
"sp46",1,1,0,1,0
"sp47",1,1,0,1,0
"sp49",0,0,0,0,0
"sp5",0,0,0,0,0
"sp55",0,0,0,0,0
"sp56",0,0,0,0,0
"sp57",0,0,0,0,0
"sp61",0,0,0,0,0
"sp64",0,0,0,1,0
"sp73",0,0,0,0,0
"sp82",0,0,0,0,0
"sp83",0,0,0,0,0
"sp85",0,0,0,0,0
"sp86",0,0,0,1,0
"sp87",0,0,0,0,0
"sp88",0,0,0,0,0
"sp9",0,0,0,0,0
"sp90",0,0,0,1,0
"sp91",1,1,0,1,0
"sp93",0,0,0,1,0
"sp94",0,0,0,0,0
"sp95",0,0,0,0,0
"sp97",0,0,0,1,0
"sp99",0,0,0,1,0
"Ves_ger",1,1,0,1,0
