"","x"
"1",0.9
"2",0.9
"3",0.9
"4",0.9
"5",0.9
"6",0.9
"7",0.9
"8",0.9
"9",0.9
"10",0.9
"11",0.9
"12",0.5
"13",0.9
"14",0.9
"15",0.5
"16",0.9
"17",0.9
"18",0.5
"19",0.9
"20",0.9
"21",0.9
"22",0.5
"23",0.1
"24",0.5
"25",0.5
"26",0.1
"27",0.9
"28",0.5
"29",0.1
"30",0.5
"31",0.5
"32",0.9
"33",0.5
"34",0.5
"35",0.1
"36",0.5
"37",0.5
"38",0.9
"39",0.9
"40",0.5
"41",0.9
"42",0.9
"43",0.5
"44",0.9
"45",0.5
"46",0.5
"47",0.5
"48",0.5
"49",0.5
"50",0.1
"51",0.9
"52",0.5
"53",0.1
"54",0.1
"55",0.1
"56",0.9
"57",0.1
"58",0.9
"59",0.1
"60",0.5
"61",0.9
"62",0.9
"63",0.5
"64",0.9
"65",0.9
"66",0.5
"67",0.5
