"","Treat","state_node","node_id","layer_id","module","type","k_total","k_m","z_score","c_score","role"
"1","NI",1,"Aca_ova",1,13,"Plant",4,1,-0.670820393249937,0.75,"connector"
"2","NI",2,"Ade_chi",1,7,"Plant",2,1,-0.322017583811132,0.5,"peripheral"
"3","NI",3,"Als_aur",1,7,"Plant",26,10,3.1557723213491,0.813609467455621,"network hub"
"4","NI",4,"Ari_chi",1,1,"Plant",13,3,0.612372435695794,0.863905325443787,"connector"
"5","NI",5,"Ari_chi",2,1,"Plant",3,2,0,0.444444444444444,"peripheral"
"6","NI",6,"Aza_mic",1,1,"Plant",8,2,0,0.84375,"connector"
"7","NI",7,"Aza_mic",2,1,"Plant",2,2,0,0,"peripheral"
"8","NI",8,"Bac_sal",1,3,"Plant",15,5,1.26118525018893,0.826666666666667,"connector"
"9","NI",9,"Ber_dar",1,8,"Plant",12,4,1.95180014589707,0.819444444444444,"connector"
"10","NI",10,"Ber_dar",2,8,"Plant",1,0,-0.975900072948533,0,"peripheral"
"11","NI",11,"Col_hys",1,3,"Plant",9,5,1.26118525018893,0.641975308641975,"connector"
"12","NI",12,"Con_aja",1,5,"Plant",3,1,-0.629342524459685,0.666666666666667,"connector"
"13","NI",13,"Cyn_die",1,12,"Plant",14,9,2.99148011107327,0.561224489795918,"module hub"
"14","NI",14,"Cyt_sco",1,5,"Plant",14,3,0.858194351535934,0.846938775510204,"connector"
"15","NI",15,"Gal_hyp",1,9,"Plant",5,2,1.22474487139159,0.72,"connector"
"16","NI",16,"Gal_hyp",2,9,"Plant",3,0,-1.22474487139159,0.666666666666667,"connector"
"17","NI",17,"Gav_odo",1,14,"Plant",3,2,0.408248290463863,0.444444444444444,"peripheral"
"18","NI",18,"Ger_mag",1,16,"Plant",6,4,1.78885438199983,0.5,"peripheral"
"19","NI",19,"Lab_ana",1,10,"Plant",7,3,1.5,0.73469387755102,"connector"
"20","NI",20,"Lum_api",1,11,"Plant",12,4,1.78885438199983,0.75,"connector"
"21","NI",21,"May_boa",2,2,"Plant",1,1,-0.5,0,"peripheral"
"22","NI",22,"May_chu",2,2,"Plant",1,1,-0.5,0,"peripheral"
"23","NI",23,"Mut_dec",1,3,"Plant",4,2,-0.194028500029066,0.625,"connector"
"24","NI",24,"Mut_spi",1,3,"Plant",18,7,2.23132775033426,0.796296296296296,"connector"
"25","NI",25,"Osm_chi",1,17,"Plant",6,5,2.04124145231931,0.277777777777778,"peripheral"
"26","NI",26,"Pha_sec",1,15,"Plant",2,1,-0.645497224367903,0.5,"peripheral"
"27","NI",27,"Pla_lan",1,1,"Plant",6,1,-0.612372435695794,0.777777777777778,"connector"
"28","NI",28,"Pru_avi",1,3,"Plant",12,2,-0.194028500029066,0.75,"connector"
